fft_size,gi,gi_samples,symbol_samples,best_start,cp_score,cfo_hz,active_width
512,1/8,64,576,334,0.03508139,147.2203,161
512,1/16,32,544,163,0.06639467,113.9406,161
512,1/32,16,528,281,0.10310823,-63.5991,161
768,1/8,96,864,800,0.02806983,-392.5621,242
768,1/16,48,816,243,0.04000239,-304.6327,242
768,1/32,24,792,698,0.07414462,-491.4474,242
1024,1/8,128,1152,903,0.02964632,-338.2856,321
1024,1/16,64,1088,671,0.03348104,208.3056,322
1024,1/32,32,1056,900,0.07272539,239.9090,322
1536,1/8,192,1728,542,0.01984629,-8.2230,482
1536,1/16,96,1632,599,0.04349057,95.1918,482
1536,1/32,48,1584,1288,0.05812538,-83.7468,482
2048,1/8,256,2304,1558,0.02002238,-165.6116,642
2048,1/16,128,2176,1619,0.03453231,-151.7288,642
2048,1/32,64,2112,1710,0.04090897,133.6441,643
