offset,score,corr_phase,cfo_hz,is_peak,is_plateau,is_safe
0,0.050328500,-0.017097726,5.370763,0,0,0
1,0.066114711,0.017997045,-5.653259,0,0,0
2,0.070618117,-0.009954266,3.126849,0,0,0
3,0.070545046,0.042982100,-13.501602,0,0,0
4,0.066969896,0.226630071,-71.189378,0,0,0
5,0.057292476,0.512014877,-160.834881,0,0,0
6,0.052372655,0.754920487,-237.136756,0,0,0
7,0.050724644,1.180597282,-370.850989,0,0,0
8,0.064872918,1.463781369,-459.805199,0,0,0
9,0.071193267,1.563552237,-491.145374,0,0,0
10,0.067489087,1.529164980,-480.343597,0,0,0
11,0.058082671,1.322030254,-415.278126,0,0,0
12,0.051378410,1.142927220,-359.018013,0,0,0
13,0.050168379,1.066711277,-335.076946,0,0,0
14,0.055551260,1.013183105,-318.262597,0,0,0
15,0.059982565,1.062302123,-333.691936,0,0,0
16,0.064058967,1.136230495,-356.914427,0,0,0
17,0.061337535,1.174106652,-368.812143,0,0,0
18,0.059202161,1.276350718,-400.929202,0,0,0
19,0.053371270,1.312719381,-412.353381,0,0,0
20,0.043016225,1.363760595,-428.386524,0,0,0
21,0.041317733,1.069747176,-336.030587,0,0,0
22,0.053191094,0.775269078,-243.528686,0,0,0
23,0.078811129,0.550363703,-172.881072,0,0,0
24,0.088281399,0.406898490,-127.815564,0,0,0
25,0.081157737,0.354933708,-111.492309,0,0,0
26,0.067838019,0.428741411,-134.676895,0,0,0
27,0.050278025,0.370354832,-116.336415,0,0,0
28,0.039057783,0.215966629,-67.839762,0,0,0
29,0.038058569,0.207058234,-65.041443,0,0,0
30,0.039857560,0.410520011,-128.953162,0,0,0
31,0.032902164,0.444098353,-139.500841,0,0,0
32,0.020460417,-0.265897800,83.524216,0,0,0
33,0.019030099,-1.345155267,422.542190,0,0,0
34,0.018713517,-1.649822849,518.244828,0,0,0
35,0.019128386,-1.681074455,528.061630,0,0,0
36,0.018489895,-0.988807749,310.605773,0,0,0
37,0.021056200,-0.378018069,118.743603,0,0,0
38,0.020801879,0.251914766,-79.131844,0,0,0
39,0.009477556,1.099169489,-345.272769,0,0,0
40,0.015840729,3.013998178,-946.761629,0,0,0
41,0.023664595,-3.008217408,944.945765,0,0,0
42,0.015411896,-2.212262698,694.919277,0,0,0
43,0.013837637,-1.421465858,446.512987,0,0,0
44,0.020972313,-1.532822170,481.492399,0,0,0
45,0.028762633,-2.111661837,663.318384,0,0,0
46,0.032453471,-2.247529829,705.997441,0,0,0
47,0.028546532,-2.174783664,683.146307,0,0,0
48,0.014229841,-2.426043897,762.072548,0,0,0
49,0.013682897,2.301352474,-722.904291,0,0,0
50,0.029676693,2.269604563,-712.931590,0,0,0
51,0.038408409,2.382726403,-748.465592,0,0,0
52,0.041966612,2.569021699,-806.984950,0,0,0
53,0.045553778,2.550881565,-801.286744,0,0,0
54,0.044855446,2.518440664,-791.096359,0,0,0
55,0.037987904,2.426368664,-762.174564,0,0,0
56,0.035657846,2.157524581,-677.724858,0,0,0
57,0.040527299,2.027432514,-636.860142,0,0,0
58,0.051419936,2.087318561,-655.671637,0,0,0
59,0.058989217,2.139645935,-672.108791,0,0,0
60,0.066120286,2.028031961,-637.048442,0,0,0
61,0.071382711,1.792451807,-563.047650,0,0,0
62,0.070494781,1.631301603,-512.426906,0,0,0
63,0.063642707,1.485605168,-466.660524,0,0,0
64,0.057183267,1.451896061,-456.071769,0,0,0
65,0.055561629,1.433510298,-450.296405,0,0,0
66,0.053334558,1.196166899,-375.741741,0,0,0
67,0.056713433,0.992022689,-311.615655,0,0,0
68,0.059851924,0.854311182,-268.357510,0,0,0
69,0.060860292,0.709395962,-222.836524,0,0,0
70,0.051648230,0.488503418,-153.449427,0,0,0
71,0.041397366,0.240147360,-75.435449,0,0,0
72,0.043753093,-0.176214319,55.352706,0,0,0
73,0.059321620,-0.354483063,111.350752,0,0,0
74,0.072536139,-0.342360814,107.542893,0,0,0
75,0.075895216,-0.178656851,56.119958,0,0,0
76,0.073102831,-0.047120986,14.801715,0,0,0
77,0.082990029,-0.043165710,13.559278,0,0,0
78,0.085527247,-0.005104280,1.603364,0,0,0
79,0.082784893,0.064805298,-20.356737,0,0,0
80,0.082380199,0.074169740,-23.298310,0,0,0
81,0.089942337,0.035015698,-10.999183,0,0,0
82,0.089987440,-0.002777467,0.872462,0,0,0
83,0.088989415,-0.026284243,8.256446,0,0,0
84,0.084714419,0.047810383,-15.018269,0,0,0
85,0.079035619,-0.008405905,2.640476,0,0,0
86,0.080971859,-0.050100421,15.737619,0,0,0
87,0.085446545,0.021553542,-6.770431,0,0,0
88,0.087674478,0.236459336,-74.276961,0,0,0
89,0.088796998,0.514349540,-161.568249,0,0,0
90,0.090444732,0.689832347,-216.691172,0,0,0
91,0.089630639,0.691731435,-217.287716,0,0,0
92,0.095492774,0.703802615,-221.079533,0,0,0
93,0.095599595,0.837363743,-263.033955,0,0,0
