channel_snr_db,noise_bandwidth_hz,symbol_rate,symbol_rate_hz,esn0_db,ebn0_db,fec,offered_packets,correct_packets,missed_or_bad_packets,packet_error_percent
0.00,333000,333k,333000,0.00,-3.01,1/2,240,0,240,100.00
0.20,333000,333k,333000,0.20,-2.81,1/2,240,0,240,100.00
0.40,333000,333k,333000,0.40,-2.61,1/2,240,0,240,100.00
0.60,333000,333k,333000,0.60,-2.41,1/2,240,0,240,100.00
0.80,333000,333k,333000,0.80,-2.21,1/2,240,0,240,100.00
1.00,333000,333k,333000,1.00,-2.01,1/2,240,1,239,99.58
1.20,333000,333k,333000,1.20,-1.81,1/2,240,4,236,98.33
1.40,333000,333k,333000,1.40,-1.61,1/2,240,16,224,93.33
1.60,333000,333k,333000,1.60,-1.41,1/2,240,31,209,87.08
1.80,333000,333k,333000,1.80,-1.21,1/2,240,41,199,82.92
2.00,333000,333k,333000,2.00,-1.01,1/2,240,93,147,61.25
2.20,333000,333k,333000,2.20,-0.81,1/2,240,102,138,57.50
2.40,333000,333k,333000,2.40,-0.61,1/2,240,155,85,35.42
2.60,333000,333k,333000,2.60,-0.41,1/2,240,180,60,25.00
2.80,333000,333k,333000,2.80,-0.21,1/2,240,209,31,12.92
3.00,333000,333k,333000,3.00,-0.01,1/2,240,214,26,10.83
3.20,333000,333k,333000,3.20,0.19,1/2,240,223,17,7.08
3.40,333000,333k,333000,3.40,0.39,1/2,240,230,10,4.17
3.60,333000,333k,333000,3.60,0.59,1/2,240,233,7,2.92
3.80,333000,333k,333000,3.80,0.79,1/2,240,236,4,1.67
4.00,333000,333k,333000,4.00,0.99,1/2,240,240,0,0.00
4.20,333000,333k,333000,4.20,1.19,1/2,240,238,2,0.83
4.40,333000,333k,333000,4.40,1.39,1/2,240,240,0,0.00
4.60,333000,333k,333000,4.60,1.59,1/2,240,240,0,0.00
4.80,333000,333k,333000,4.80,1.79,1/2,240,240,0,0.00
5.00,333000,333k,333000,5.00,1.99,1/2,240,240,0,0.00
5.20,333000,333k,333000,5.20,2.19,1/2,240,240,0,0.00
5.40,333000,333k,333000,5.40,2.39,1/2,240,240,0,0.00
5.60,333000,333k,333000,5.60,2.59,1/2,240,240,0,0.00
5.80,333000,333k,333000,5.80,2.79,1/2,240,240,0,0.00
