channel_snr_db,noise_bandwidth_hz,guard,guard_fraction,symbol_rate,symbol_rate_hz,esn0_db,ebn0_db,fec,offered_packets,correct_packets,missed_or_bad_packets,packet_error_percent
0.00,333000,1/8,0.125000,333k,333000,-0.51,-3.52,1/2,240,0,240,100.00
0.20,333000,1/8,0.125000,333k,333000,-0.31,-3.32,1/2,240,0,240,100.00
0.40,333000,1/8,0.125000,333k,333000,-0.11,-3.12,1/2,240,0,240,100.00
0.60,333000,1/8,0.125000,333k,333000,0.09,-2.92,1/2,240,0,240,100.00
0.80,333000,1/8,0.125000,333k,333000,0.29,-2.72,1/2,240,0,240,100.00
1.00,333000,1/8,0.125000,333k,333000,0.49,-2.52,1/2,240,0,240,100.00
1.20,333000,1/8,0.125000,333k,333000,0.69,-2.32,1/2,240,0,240,100.00
1.40,333000,1/8,0.125000,333k,333000,0.89,-2.12,1/2,240,1,239,99.58
1.60,333000,1/8,0.125000,333k,333000,1.09,-1.92,1/2,240,3,237,98.75
1.80,333000,1/8,0.125000,333k,333000,1.29,-1.72,1/2,240,2,238,99.17
2.00,333000,1/8,0.125000,333k,333000,1.49,-1.52,1/2,240,14,226,94.17
2.20,333000,1/8,0.125000,333k,333000,1.69,-1.32,1/2,240,32,208,86.67
2.40,333000,1/8,0.125000,333k,333000,1.89,-1.12,1/2,240,68,172,71.67
2.60,333000,1/8,0.125000,333k,333000,2.09,-0.92,1/2,240,114,126,52.50
2.80,333000,1/8,0.125000,333k,333000,2.29,-0.72,1/2,240,135,105,43.75
3.00,333000,1/8,0.125000,333k,333000,2.49,-0.52,1/2,240,163,77,32.08
3.20,333000,1/8,0.125000,333k,333000,2.69,-0.32,1/2,240,187,53,22.08
3.40,333000,1/8,0.125000,333k,333000,2.89,-0.12,1/2,240,210,30,12.50
3.60,333000,1/8,0.125000,333k,333000,3.09,0.08,1/2,240,220,20,8.33
3.80,333000,1/8,0.125000,333k,333000,3.29,0.28,1/2,240,223,17,7.08
4.00,333000,1/8,0.125000,333k,333000,3.49,0.48,1/2,240,236,4,1.67
4.20,333000,1/8,0.125000,333k,333000,3.69,0.68,1/2,240,237,3,1.25
