i,q,symbol,bin
-0.3189908,-0.9477578,0,-80
0.8454642,0.5340320,0,-79
-0.7396325,-0.6730109,0,-78
0.6467431,-0.7627079,0,-77
0.1029481,0.9946867,0,-76
-0.4558755,-0.8900436,0,-75
-0.9988591,-0.0477545,0,-74
0.1530818,0.9882135,0,-73
-0.9460993,0.3238766,0,-72
-0.9254102,-0.3789669,0,-71
0.6999524,0.7141895,0,-70
0.9256045,-0.3784921,0,-69
-0.3792886,0.9252784,0,-68
0.4577329,-0.8890898,0,-67
-0.5496580,-0.8353898,0,-66
0.9992139,-0.0396422,0,-65
0.7421235,0.6702632,0,-64
-0.7320867,0.6812114,0,-63
-0.8738370,-0.4862189,0,-62
-0.5638723,0.8258620,0,-61
-0.2569411,0.9664270,0,-60
0.5898777,-0.8074926,0,-59
-0.9437386,-0.3306923,0,-58
0.1595297,0.9871931,0,-57
-0.9438162,-0.3304709,0,-56
-0.9865579,0.1634119,0,-55
0.9583607,0.2855603,0,-54
-0.4624591,-0.8866406,0,-53
-0.5146601,0.8573943,0,-52
-0.0375122,0.9992962,0,-51
-0.1013929,0.9948465,0,-50
-0.6446244,0.7644994,0,-49
-0.8386180,0.5447201,0,-48
0.0921855,0.9957418,0,-47
0.8438377,-0.5365985,0,-46
0.8579320,-0.5137631,0,-45
0.9986347,0.0522377,0,-44
0.1269224,0.9919126,0,-43
0.7542829,-0.6565495,0,-42
0.2663780,0.9638687,0,-41
0.2372569,-0.9714469,0,-40
0.7326742,-0.6805795,0,-39
0.1432840,0.9896816,0,-38
-0.9948615,-0.1012450,0,-37
-0.6409817,0.7675561,0,-36
0.7905338,-0.6124184,0,-35
0.9957309,0.0923044,0,-34
0.8920296,-0.4519768,0,-33
0.7276004,-0.6860012,0,-32
0.9781983,0.2076730,0,-31
-0.9999908,0.0042893,0,-30
0.9732381,-0.2297993,0,-29
-0.0430613,0.9990724,0,-28
0.4285797,0.9035040,0,-27
0.9386652,-0.3448299,0,-26
-0.7485947,0.6630279,0,-25
0.0732082,0.9973167,0,-24
0.4861322,-0.8738853,0,-23
0.8946800,-0.4467077,0,-22
-0.9554462,0.2951654,0,-21
-0.3601161,0.9329075,0,-20
-0.0778326,0.9969664,0,-19
-0.4074011,0.9132493,0,-18
0.8434794,-0.5371615,0,-17
0.7468813,-0.6649574,0,-16
-0.2162264,0.9763432,0,-15
0.6340154,0.7733204,0,-14
-0.8807882,0.4735104,0,-13
-0.6132466,-0.7898915,0,-12
-0.1271746,-0.9918804,0,-11
0.3212046,0.9470098,0,-10
-0.6005761,-0.7995676,0,-9
0.6528978,-0.7574461,0,-8
-0.6283114,0.7779620,0,-7
0.0902771,0.9959167,0,-6
0.0032865,-0.9999946,0,-5
-0.7733875,-0.6339335,0,-4
-0.7577004,-0.6526025,0,-3
-0.9606645,0.2777117,0,-2
0.3639418,0.9314217,0,-1
-0.9975595,-0.0698205,0,1
0.2903107,-0.9569325,0,2
0.6575437,-0.7534164,0,3
0.8944985,0.4470709,0,4
-0.9895728,0.1440333,0,5
-0.4062432,0.9137650,0,6
0.9758257,0.2185503,0,7
-0.6861983,-0.7274145,0,8
-0.5464211,-0.8375106,0,9
-0.9272646,0.3744065,0,10
-0.6186683,-0.7856523,0,11
-0.4192855,0.9078544,0,12
-0.9248852,-0.3802465,0,13
0.8854327,-0.4647677,0,14
-0.9310361,0.3649271,0,15
0.1252605,-0.9921239,0,16
0.9112302,0.4118974,0,17
0.3081810,-0.9513277,0,18
-0.6964933,-0.7175633,0,19
0.9130922,-0.4077532,0,20
0.9914486,-0.1304977,0,21
0.9968870,0.0788440,0,22
0.6228149,0.7823692,0,23
-0.9975248,-0.0703156,0,24
0.9582077,0.2860734,0,25
0.5945003,-0.8040954,0,26
-0.8666698,-0.4988822,0,27
-0.1446124,0.9894884,0,28
-0.9148670,0.4037552,0,29
0.6472979,-0.7622371,0,30
-0.5424244,0.8401046,0,31
-0.5026889,0.8644674,0,32
0.7400345,-0.6725689,0,33
-0.2027313,0.9792344,0,34
-0.7927690,-0.6095222,0,35
-0.4815941,-0.8763944,0,36
0.9940830,-0.1086228,0,37
-0.9990517,-0.0435383,0,38
-0.0755451,-0.9971424,0,39
-0.5037569,-0.8638454,0,40
-0.8749566,-0.4842014,0,41
0.7256927,0.6880189,0,42
-0.5061320,-0.8624560,0,43
-0.9937409,0.1117099,0,44
0.5413797,0.8407782,0,45
-0.2714588,-0.9624500,0,46
-0.1192620,-0.9928628,0,47
0.6340837,-0.7732644,0,48
-0.3083120,-0.9512853,0,49
-0.6606774,0.7506699,0,50
0.7369106,0.6759902,0,51
0.8911519,0.4537050,0,52
-0.1861977,0.9825123,0,53
0.9793887,0.2019849,0,54
0.8509064,0.5253174,0,55
-0.4059965,0.9138746,0,56
0.5336124,0.8457292,0,57
-0.9666057,0.2562682,0,58
-0.1159280,-0.9932576,0,59
0.9394531,0.3426775,0,60
-0.9061249,0.4230102,0,61
-0.4859732,0.8739737,0,62
0.1449899,-0.9894331,0,63
0.0307203,0.9995281,0,64
-0.3229030,0.9464321,0,65
0.9873071,-0.1588230,0,66
0.5984283,0.8011764,0,67
0.5130907,-0.8583344,0,68
0.9290376,-0.3699853,0,69
0.9152786,-0.4028213,0,70
-0.8406895,-0.5415174,0,71
-0.9574443,0.2886183,0,72
0.9770163,0.2131646,0,73
-0.6693199,-0.7429743,0,74
-0.8924451,0.4511561,0,75
0.6701285,0.7422451,0,76
0.9665411,-0.2565120,0,77
0.4331723,-0.9013112,0,78
-0.0880450,-0.9961165,0,79
0.7286417,-0.6848950,0,80
0.6450567,0.7641347,1,-80
0.9798585,-0.1996932,1,-79
0.9894105,-0.1451441,1,-78
-0.6641673,0.7475840,1,-77
0.9082154,0.4185031,1,-76
0.1203834,0.9927275,1,-75
