i,q,symbol,bin,qpsk4_score,carrier_rms
0.6230863,0.9152626,0,-79,0.2501132,0.0322619
0.4566336,0.5686581,0,-76,0.3398334,0.0327613
-0.7346487,0.1186133,0,-74,0.1941545,0.0344416
-1.0631732,-0.4656785,0,-72,0.2003226,0.0324508
-0.7284766,-0.7978281,0,-71,0.2163529,0.0324261
0.5103308,0.0553422,0,-70,0.2217442,0.0311667
0.1758622,0.5247575,0,-68,0.1923675,0.0312710
-0.0234386,-0.5889443,0,-67,0.1570395,0.0345046
0.9525675,0.8519498,0,-65,0.1866726,0.0345717
-0.1991953,1.4249128,0,-63,0.2275395,0.0348791
-1.4925712,-1.4060689,0,-62,0.2089079,0.0343295
-0.4404761,0.3097012,0,-61,0.2655490,0.0322064
-1.1795160,-0.2487640,0,-58,0.2100309,0.0333572
-0.5630982,0.8196695,0,-57,0.2247283,0.0340330
-1.1594267,0.2889635,0,-56,0.2210422,0.0332184
1.0634019,-0.2885230,0,-54,0.1823994,0.0329907
-0.9553778,0.3385026,0,-49,0.1672389,0.0347945
-1.1029463,2.2745533,0,-48,0.2353979,0.0343193
-0.7888146,1.0259445,0,-47,0.2414223,0.0320335
0.4747235,-0.0644113,0,-46,0.1879204,0.0355634
0.8512757,0.3316545,0,-44,0.1774834,0.0316402
-0.6521344,0.8401201,0,-43,0.1669991,0.0335626
0.3204134,-0.2100446,0,-42,0.2398450,0.0326647
0.2056894,-0.7155142,0,-40,0.2284884,0.0344049
0.7479631,-0.2300725,0,-39,0.2268003,0.0354010
0.1607023,0.2887367,0,-38,0.2202643,0.0346560
-0.1409460,0.9443966,0,-36,0.2231240,0.0331801
1.2094076,-1.4042157,0,-33,0.1589296,0.0329247
0.6753312,-0.8229520,0,-32,0.2391770,0.0345359
0.9568641,0.5756848,0,-31,0.2330564,0.0354402
0.0849755,0.3695767,0,-27,0.2107448,0.0322772
-0.8745995,0.0980601,0,-25,0.1999021,0.0335838
-0.3946569,0.5294791,0,-24,0.1679632,0.0348238
0.5328023,-0.6363851,0,-22,0.2049773,0.0350560
-0.6261788,1.5008337,0,-20,0.1728152,0.0345012
-0.0147991,0.4369576,0,-18,0.2527941,0.0328072
0.5465524,-0.4502202,0,-16,0.3097780,0.0317280
1.4903135,0.9197882,0,-14,0.1747163,0.0338224
-0.3075878,0.4614877,0,-13,0.1633070,0.0345562
-0.2170231,-0.2008389,0,-12,0.1729274,0.0357050
