i,q,symbol,bin
-0.7944579,0.6073192,0,-118
0.5985005,-0.8011224,0,-117
-0.7588534,-0.6512615,0,-116
0.4356790,-0.9001021,0,-115
0.2649408,0.9642647,0,-114
0.6471068,0.7623993,0,-113
-0.6803685,0.7328702,0,-112
0.7295383,-0.6839400,0,-111
0.6889009,0.7248555,0,-110
0.7907562,0.6121311,0,-109
0.7936922,0.6083195,0,-108
-0.6585028,0.7525783,0,-107
0.7232306,0.6906066,0,-106
-0.7130635,0.7010994,0,-105
-0.8657535,0.5004706,0,-104
-0.7024605,-0.7117228,0,-103
-0.8444034,0.5357078,0,-102
0.7240320,-0.6897663,0,-101
-0.8375866,-0.5463045,0,-100
0.8344768,-0.5510431,0,-99
-0.7798183,0.6260059,0,-98
-0.6328695,0.7742584,0,-97
-0.7786960,-0.6274014,0,-96
-0.8457946,-0.5335087,0,-95
0.7131213,0.7010406,0,-94
-0.5831624,0.8123556,0,-93
0.9201617,-0.3915385,0,-92
0.7969215,0.6040829,0,-91
0.6754622,0.7373946,0,-90
-0.6063654,-0.7951862,0,-89
-0.7981696,-0.6024328,0,-88
0.7114779,-0.7027084,0,-87
-0.6465801,0.7628461,0,-86
-0.6921220,0.7217805,0,-85
-0.5112913,-0.8594075,0,-84
-0.6598834,0.7513680,0,-83
0.8454737,0.5340170,0,-82
0.4688187,-0.8832945,0,-81
0.6966684,0.7173933,0,-80
0.7216620,-0.6922455,0,-79
0.8017956,-0.5975984,0,-78
-0.7800009,-0.6257784,0,-77
0.7731560,-0.6342159,0,-76
0.8648126,-0.5020948,0,-75
-0.7645862,0.6445215,0,-74
0.6002737,0.7997947,0,-73
-0.6058840,-0.7955530,0,-72
-0.7256236,-0.6880918,0,-71
0.4223819,-0.9064180,0,-70
0.7893077,-0.6139978,0,-69
0.8152829,-0.5790628,0,-68
0.8244238,-0.5659729,0,-67
0.5642418,0.8256096,0,-66
0.7815667,-0.6238216,0,-65
0.6647515,0.7470646,0,-64
-0.8571392,0.5150848,0,-63
0.6772130,0.7357871,0,-62
0.6765471,0.7363994,0,-61
0.7189965,-0.6950137,0,-60
-0.5713979,-0.8206732,0,-59
0.8538545,0.5205119,0,-58
-0.6079515,-0.7939742,0,-57
-0.4995421,0.8662896,0,-56
-0.7572010,-0.6531820,0,-55
0.6567095,-0.7541437,0,-54
-0.5267545,0.8500175,0,-53
-0.7067496,-0.7074638,0,-52
0.5899375,0.8074489,0,-51
-0.5848548,-0.8111380,0,-50
-0.7398149,0.6728104,0,-49
-0.7781719,0.6280514,0,-48
0.6900650,0.7237474,0,-47
-0.6483498,-0.7613426,0,-46
0.6826305,-0.7307637,0,-45
0.7893164,-0.6139866,0,-44
-0.8426606,0.5384451,0,-43
0.6978663,0.7162280,0,-42
0.5973943,0.8019476,0,-41
0.7185065,-0.6955202,0,-40
-0.7142679,-0.6998724,0,-39
0.7773053,-0.6291236,0,-38
-0.6719400,-0.7406056,0,-37
-0.4393983,-0.8982924,0,-36
-0.8488017,0.5287114,0,-35
-0.6728066,0.7398184,0,-34
-0.7581862,0.6520382,0,-33
0.7530889,-0.6579188,0,-32
0.6814549,0.7318600,0,-31
0.6461377,0.7632209,0,-30
0.8007939,0.5989400,0,-29
-0.5579607,0.8298674,0,-28
-0.9017594,0.4322383,0,-27
0.7953088,-0.6062045,0,-26
0.7283893,0.6851634,0,-25
-0.8037744,0.5949342,0,-24
0.6977213,-0.7163693,0,-23
-0.6436987,0.7652790,0,-22
0.7392172,0.6734670,0,-21
0.6414978,0.7671249,0,-20
-0.5473654,-0.8368937,0,-19
0.7254753,0.6882482,0,-18
0.6922002,0.7217055,0,-17
-0.8067421,-0.5909036,0,-16
0.7045718,-0.7096327,0,-15
0.8716674,0.4900977,0,-14
0.4611936,-0.8872995,0,-13
-0.6602250,0.7510678,0,-12
-0.6352885,0.7722749,0,-11
-0.5474247,0.8368549,0,-10
-0.3978018,-0.9174714,0,-9
0.7723383,0.6352115,0,-8
-0.7455668,-0.6664309,0,-7
-0.9175362,-0.3976522,0,-6
-0.7469044,-0.6649314,0,-5
0.8127112,0.5826668,0,-4
0.6511257,-0.7589700,0,-3
-0.6216838,-0.7832683,0,-2
-0.8000114,0.5999848,0,-1
-0.4847507,-0.8746524,0,1
0.7946956,0.6070083,0,2
0.7352002,0.6778501,0,3
-0.8041391,-0.5944412,0,4
-0.9798201,0.1998814,0,5
0.7392033,-0.6734823,0,6
-0.7411848,-0.6713010,0,7
-0.6307801,0.7759616,0,8
-0.7641793,0.6450039,0,9
-0.8234371,-0.5674076,0,10
0.6476924,0.7619019,0,11
0.7739740,-0.6332173,0,12
-0.7475569,-0.6641977,0,13
0.5685362,0.8226583,0,14
-0.8204588,-0.5717056,0,15
0.4636412,0.8860230,0,16
-0.9303527,-0.3666658,0,17
0.7584692,-0.6517090,0,18
0.6176707,-0.7864369,0,19
0.8055904,0.5924729,0,20
-0.6554770,-0.7552151,0,21
0.7094857,-0.7047199,0,22
0.7826376,-0.6224777,0,23
-0.8236653,-0.5670763,0,24
0.8435149,0.5371057,0,25
-0.7111537,0.7030365,0,26
0.5452141,0.8382969,0,27
0.7213538,-0.6925667,0,28
0.7290541,-0.6844561,0,29
-0.7338204,0.6793435,0,30
-0.7848841,0.6196426,0,31
-0.7016397,-0.7125320,0,32
0.8323645,0.5542285,0,33
-0.6084411,-0.7935991,0,34
0.4597117,-0.8880682,0,35
-0.6747257,0.7380686,0,36
-0.3680510,0.9298056,0,37
-0.6240674,-0.7813705,0,38
0.7626432,-0.6468194,0,39
-0.8003847,-0.5994867,0,40
-0.6831925,-0.7302383,0,41
0.7134741,0.7006816,0,42
0.7572970,-0.6530706,0,43
-0.7218468,-0.6920529,0,44
-0.6858982,-0.7276975,0,45
-0.7066451,-0.7075682,0,46
0.7742150,-0.6329228,0,47
-0.5464419,0.8374970,0,48
-0.7250001,0.6887487,0,49
0.7143995,-0.6997381,0,50
-0.7872467,0.6166381,0,51
-0.6557541,0.7549745,0,52
0.7231793,-0.6906604,0,53
0.7343525,-0.6787683,0,54
-0.6785595,0.7345455,0,55
0.6137117,-0.7895302,0,56
0.6818448,-0.7314969,0,57
0.4894666,0.8720220,0,58
-0.7543457,-0.6564775,0,59
-0.6809599,0.7323207,0,60
-0.7173741,-0.6966881,0,61
