i,q,symbol,bin,qpsk4_score,carrier_rms
1.0286863,-1.1518784,0,-156,0.2270214,0.0464690
-0.5829976,0.0085796,0,-155,0.1970630,0.0450227
-0.8790042,-0.4559154,0,-152,0.1717015,0.0457752
-0.2664382,0.4196169,0,-151,0.1605397,0.0463318
0.7375058,0.2107434,0,-146,0.2097332,0.0461742
1.2347405,-0.3116506,0,-143,0.2088511,0.0484597
0.4731369,0.7341178,0,-138,0.2030334,0.0436861
-0.3917436,0.5335262,0,-135,0.2484976,0.0437259
-0.9516106,0.5593755,0,-134,0.1728886,0.0452208
-1.0428011,-0.8486270,0,-132,0.2492172,0.0471908
1.0671686,0.1072933,0,-130,0.2185065,0.0484956
-0.4334349,-0.3971564,0,-128,0.2142955,0.0497278
-0.6378890,-0.9760319,0,-123,0.1750509,0.0504233
1.0042350,-0.3940446,0,-121,0.1706775,0.0482330
-0.2010886,-0.7230136,0,-119,0.1570650,0.0460406
0.1702547,0.1053596,0,-118,0.1443658,0.0452263
-0.9475699,-0.8605145,0,-117,0.1886027,0.0447311
-0.7110227,0.6100146,0,-116,0.2375168,0.0475867
1.6486630,0.1397114,0,-114,0.1665477,0.0462379
0.9224874,-1.4221870,0,-113,0.3565924,0.0472855
0.0705182,0.5035604,0,-112,0.2246836,0.0478658
-0.3137510,-1.0006771,0,-108,0.2135915,0.0463117
0.4325412,0.5042965,0,-107,0.1424314,0.0488541
-0.0685901,1.2286277,0,-105,0.1700114,0.0478369
0.5655225,-0.0327587,0,-102,0.1455248,0.0460441
-0.3681993,-1.1527139,0,-97,0.2231352,0.0468305
0.5604921,-0.2436860,0,-93,0.1646879,0.0470861
1.2214922,-1.0296667,0,-92,0.3089982,0.0460732
-0.7319272,0.2896751,0,-91,0.2321491,0.0492880
0.7484346,-0.2876067,0,-86,0.1722495,0.0461495
0.0344075,0.2714381,0,-84,0.1585806,0.0476333
-0.2631347,-0.2714469,0,-83,0.1374099,0.0476727
0.7373993,0.0565808,0,-79,0.1861676,0.0487268
-0.0691553,-0.7501843,0,-76,0.2045140,0.0481646
0.1339349,-0.4079674,0,-74,0.1948881,0.0492121
-1.3637989,-0.5244178,0,-73,0.1472219,0.0492468
-0.1677157,-0.4294323,0,-72,0.2633018,0.0480336
-0.9094800,0.7009902,0,-69,0.1511319,0.0485273
-0.2425015,0.5124246,0,-64,0.3113982,0.0487102
0.0259939,-1.6911166,0,-62,0.1939685,0.0475836
-0.2953887,-0.2833432,0,-61,0.1683552,0.0482859
1.1783481,-0.3937602,0,-60,0.1550666,0.0497879
0.2269900,-1.1692107,0,-59,0.2103914,0.0506227
-0.6408942,0.5749594,0,-58,0.2477017,0.0476262
-0.8613219,-0.1340661,0,-56,0.1511308,0.0486317
-0.2106636,-0.0152324,0,-55,0.2794665,0.0477681
-0.6052570,0.6070667,0,-54,0.1639302,0.0472464
0.2361877,0.7220908,0,-49,0.1452189,0.0478660
-0.0177752,0.3617633,0,-48,0.1775129,0.0473981
-0.1427700,0.3267122,0,-46,0.1382580,0.0498963
-0.1963650,-0.9808671,0,-43,0.1465134,0.0503977
0.4132239,0.3305666,0,-42,0.1582611,0.0461713
0.3139682,0.6840465,0,-41,0.2490263,0.0487336
-0.5523143,0.4682247,0,-40,0.1988561,0.0479146
0.9009458,1.2711792,0,-39,0.1695710,0.0490551
0.8719657,-0.3623119,0,-37,0.1583061,0.0477034
0.0784242,-0.2353154,0,-35,0.2030056,0.0473512
0.6479428,1.0035626,0,-33,0.2319180,0.0461964
0.2851987,0.3310846,0,-29,0.1848072,0.0486243
0.5470827,-0.0778692,0,-28,0.1819192,0.0492241
0.3245756,0.5780954,0,-25,0.2299914,0.0489457
0.3576013,0.9200109,0,-24,0.2017165,0.0499965
-1.5559622,1.1896043,0,-22,0.1553333,0.0471174
-0.4108688,0.5102252,0,-21,0.1545720,0.0494302
0.8779928,1.4044482,0,-19,0.1691997,0.0487125
0.4490043,-0.8755476,0,-18,0.2177951,0.0464524
-0.2963057,0.5556018,0,-16,0.1599836,0.0491891
0.6768209,0.9205343,0,-15,0.1579232,0.0492524
-0.0519871,-1.3210601,0,-13,0.2262520,0.0490696
0.4687684,-0.0151048,0,-9,0.2446392,0.0501565
-1.0095444,1.6874098,0,-8,0.3376125,0.0486410
0.4505236,-0.2709970,0,-7,0.1726434,0.0480680
0.1423044,-0.9603127,0,-4,0.2167873,0.0459735
0.8306832,0.2475107,0,-3,0.2085642,0.0498847
0.8490987,-0.4846120,0,-1,0.1457074,0.0485285
0.5554960,-0.1855373,0,6,0.3646162,0.0486375
0.4345582,1.5069877,0,14,0.2100143,0.0495489
-0.9596717,0.0497543,0,15,0.1605183,0.0448531
-0.6262314,-0.7043395,0,17,0.2006158,0.0480301
0.7658311,0.5888988,0,18,0.1693009,0.0510269
0.5577125,-1.2196566,0,20,0.2159038,0.0462544
-0.5761162,-0.4802520,0,21,0.1982075,0.0471185
-0.5833129,-1.2010303,0,22,0.1843192,0.0461868
0.2117677,-0.3593545,0,24,0.2535864,0.0491804
1.2273370,0.3976483,0,29,0.1452729,0.0474891
1.0741395,-1.7545218,0,31,0.2354418,0.0471028
-0.8732538,0.4012742,0,33,0.2349183,0.0460823
0.0724934,0.3989106,0,35,0.2013936,0.0466466
-0.0019823,0.0777060,0,36,0.1541084,0.0483712
0.0002947,-0.0147343,0,37,0.1717860,0.0485458
0.0355493,1.0744262,0,38,0.1979523,0.0478428
-1.9979144,1.1583543,0,39,0.1869947,0.0483823
1.2195756,0.9945573,0,40,0.2699444,0.0490771
0.0261861,0.1080230,0,41,0.1514594,0.0464165
-1.1118323,0.6757183,0,42,0.1848440,0.0478055
-0.7467981,1.0064356,0,44,0.1417439,0.0471384
-0.2669772,0.2761435,0,50,0.1803309,0.0501290
0.9627158,-0.5352775,0,52,0.2014018,0.0473245
0.2161208,-0.5681114,0,57,0.2212777,0.0499938
-0.3484230,-0.2850779,0,59,0.1403024,0.0477134
-0.8329356,-0.5888249,0,61,0.2954585,0.0479243
1.2351570,-0.5779388,0,62,0.1400744,0.0485510
-0.5624443,0.1973656,0,64,0.1776270,0.0460626
-0.6511746,-0.8745561,0,65,0.2023178,0.0487666
0.8112859,1.4152918,0,66,0.2201032,0.0476580
1.1320629,0.7986618,0,67,0.1543360,0.0475317
0.1226661,0.5161784,0,73,0.2576961,0.0466101
1.0053221,2.0237019,0,75,0.1689904,0.0496719
-1.2036319,0.0422713,0,77,0.2317576,0.0493696
-0.2653944,0.9729794,0,78,0.1670030,0.0491334
0.1568039,-0.2678556,0,82,0.1386692,0.0479891
0.4259699,0.2134117,0,86,0.2179297,0.0483902
-0.6219569,-1.3349384,0,87,0.2380221,0.0456496
-1.1769402,1.2754948,0,90,0.1791966,0.0501771
-1.2465984,0.1126256,0,93,0.1539080,0.0484268
-0.8960744,-0.8916658,0,94,0.2988110,0.0456443
-1.1845931,-1.1475701,0,95,0.2611577,0.0483864
-1.2364060,0.3871773,0,98,0.1412330,0.0492111
-0.0822050,0.5247551,0,100,0.1865416,0.0486606
0.4692877,0.6582538,0,104,0.1721611,0.0472041
-1.3349369,-0.5561881,0,105,0.1376047,0.0482149
-0.4729794,0.6021749,0,106,0.2067894,0.0499533
0.3402482,1.0054569,0,108,0.1777058,0.0486216
0.4750626,-0.3266625,0,110,0.2231470,0.0499828
-1.2019547,0.8493695,0,111,0.3326568,0.0477776
1.2240891,-0.2528956,0,112,0.1798178,0.0470163
0.3338420,0.8015628,0,115,0.3092486,0.0507229
-0.7746451,0.7540905,0,122,0.1516911,0.0491668
0.7343534,0.3658548,0,123,0.2795881,0.0467701
0.4111736,0.0699977,0,132,0.1435772,0.0472711
-1.4711348,0.4370043,0,134,0.1520055,0.0479572
-0.3874839,-0.5520537,0,136,0.1960305,0.0455377
-1.3997812,-0.6955169,0,137,0.3164413,0.0456983
0.0736294,1.3806435,0,138,0.1747880,0.0462843
-1.4078175,0.2156418,0,140,0.3446588,0.0477963
0.0460480,0.6831006,0,144,0.2366702,0.0472732
-1.4998398,0.8717467,0,145,0.1694900,0.0464467
-0.3167452,1.0174391,0,146,0.1628005,0.0449671
0.6797349,0.1401030,0,147,0.2043749,0.0459627
-0.1684329,-0.0086433,0,151,0.1377462,0.0479981
0.1082403,0.6850256,0,152,0.1896993,0.0482453
-0.8656363,0.0778298,0,155,0.2575336,0.0436546
-0.8311396,-0.7188327,0,157,0.1504024,0.0487706
0.8290073,-0.3647271,0,162,0.1466781,0.0314310
-0.4999236,-0.1107630,1,-156,0.2270214,0.0464690
-0.3293991,-0.0455799,1,-155,0.1970630,0.0450227
-0.0910871,-1.4495327,1,-152,0.1717015,0.0457752
0.3249525,-0.2900505,1,-151,0.1605397,0.0463318
-0.1888985,-0.4412273,1,-146,0.2097332,0.0461742
-0.0823851,0.9544739,1,-143,0.2088511,0.0484597
0.3412409,-0.9710642,1,-138,0.2030334,0.0436861
-0.2274811,-0.2238654,1,-135,0.2484976,0.0437259
-1.0105600,-0.4735396,1,-134,0.1728886,0.0452208
-1.3202121,-0.2131549,1,-132,0.2492172,0.0471908
-0.2391687,-1.2217337,1,-130,0.2185065,0.0484956
-0.5664896,0.5126544,1,-128,0.2142955,0.0497278
-0.5530748,-1.1937013,1,-123,0.1750509,0.0504233
-0.9383830,0.4996700,1,-121,0.1706775,0.0482330
0.5066864,0.5535823,1,-119,0.1570650,0.0460406
1.1490544,0.0423274,1,-118,0.1443658,0.0452263
-0.7939193,-1.0049596,1,-117,0.1886027,0.0447311
0.0626018,0.3954381,1,-116,0.2375168,0.0475867
-0.5211573,1.0820177,1,-114,0.1665477,0.0462379
-0.2335067,0.4960192,1,-113,0.3565924,0.0472855
-0.4497921,-1.2140448,1,-112,0.2246836,0.0478658
0.1816979,-0.6931266,1,-108,0.2135915,0.0463117
-0.6212431,-0.6051015,1,-107,0.1424314,0.0488541
