delta,offset,cp_score,qpsk4_score
-160,743,0.02045648,0.01513122
-159,744,0.02153184,0.01404362
-158,745,0.01970052,0.00678075
-157,746,0.02004649,0.01536278
-156,747,0.01907022,0.01171480
-155,748,0.01621526,0.00824353
-154,749,0.01681445,0.01539313
-153,750,0.02143057,0.00889521
-152,751,0.02216090,0.01043319
-151,752,0.02355646,0.00960379
-150,753,0.02646601,0.00478268
-149,754,0.02727664,0.01220911
-148,755,0.02798146,0.02066503
-147,756,0.02641421,0.00388299
-146,757,0.02292783,0.02397656
-145,758,0.01912601,0.01719937
-144,759,0.01644943,0.02098807
-143,760,0.01412557,0.00387725
-142,761,0.01075856,0.00425574
-141,762,0.00967686,0.02074878
-140,763,0.01173550,0.02702733
-139,764,0.01252094,0.02401473
-138,765,0.01469313,0.01577812
-137,766,0.01794502,0.00787625
-136,767,0.01855269,0.01070024
-135,768,0.02012455,0.00568134
-134,769,0.02135812,0.01508841
-133,770,0.01900769,0.02001270
-132,771,0.01613021,0.00811037
-131,772,0.02030304,0.01391528
-130,773,0.02667857,0.01714902
-129,774,0.02698613,0.01083891
-128,775,0.02673725,0.01087903
-127,776,0.02490555,0.00177059
-126,777,0.02411222,0.00171043
-125,778,0.02241885,0.01144341
-124,779,0.01936218,0.00616826
-123,780,0.01121821,0.02267314
-122,781,0.00292219,0.00554829
-121,782,0.00472378,0.01300598
-120,783,0.00472820,0.00700479
-119,784,0.00412868,0.01194039
-118,785,0.01024104,0.01445162
-117,786,0.01913764,0.00155176
-116,787,0.02484867,0.01907326
-115,788,0.02380122,0.00733453
-114,789,0.02049835,0.00971200
-113,790,0.01498489,0.00437605
-112,791,0.00816993,0.01603098
-111,792,0.00255794,0.01549774
-110,793,0.00336840,0.00294094
-109,794,0.00851892,0.01126944
-108,795,0.01058556,0.00896951
-107,796,0.01158040,0.02481185
-106,797,0.00910511,0.01860694
-105,798,0.00879934,0.01700724
-104,799,0.01196539,0.01393707
-103,800,0.01604197,0.01463250
-102,801,0.02133621,0.02518783
-101,802,0.02139444,0.00822072
-100,803,0.01863292,0.01126071
-99,804,0.01948130,0.02036184
-98,805,0.02201647,0.01611465
-97,806,0.02045063,0.01275623
-96,807,0.01818024,0.01541156
-95,808,0.01617763,0.00478998
-94,809,0.01742144,0.02830071
-93,810,0.01812894,0.01454475
-92,811,0.01554757,0.01317766
-91,812,0.00898750,0.01157902
-90,813,0.00394821,0.01598868
-89,814,0.00388066,0.01715222
-88,815,0.00687233,0.00605770
-87,816,0.01149078,0.01468584
-86,817,0.01471662,0.00859859
-85,818,0.01750368,0.00330359
-84,819,0.02069376,0.01840268
-83,820,0.01970463,0.01545924
-82,821,0.01793418,0.00862232
-81,822,0.01623023,0.01637515
-80,823,0.01674608,0.02543815
-79,824,0.01695066,0.01988525
-78,825,0.01975222,0.01861659
-77,826,0.02488756,0.01647284
-76,827,0.02923230,0.01254301
-75,828,0.03415007,0.00992170
-74,829,0.03706160,0.00806038
-73,830,0.04030614,0.01309855
-72,831,0.03789488,0.01536352
-71,832,0.03112656,0.00690037
-70,833,0.02605968,0.00109481
-69,834,0.02700602,0.02271350
-68,835,0.03130524,0.00712405
-67,836,0.03631132,0.00481779
-66,837,0.03762198,0.00587307
-65,838,0.03621308,0.01395977
-64,839,0.03410405,0.02787406
-63,840,0.03073355,0.00241300
-62,841,0.03178800,0.01060044
-61,842,0.03804705,0.00815716
-60,843,0.04353419,0.00560205
-59,844,0.04424054,0.01041232
-58,845,0.04166995,0.00960803
-57,846,0.03949887,0.00840834
-56,847,0.03637691,0.00668853
-55,848,0.02931052,0.00331260
-54,849,0.02264584,0.00624942
-53,850,0.01902938,0.00787654
-52,851,0.02037340,0.00721903
-51,852,0.01946340,0.02106789
-50,853,0.01928039,0.02098721
-49,854,0.01937819,0.01178342
-48,855,0.01899550,0.02057315
-47,856,0.01882815,0.00730262
-46,857,0.01927536,0.01591368
-45,858,0.02012451,0.00630760
-44,859,0.01975618,0.00693645
-43,860,0.01708313,0.00214951
-42,861,0.01523169,0.00736838
-41,862,0.01299070,0.01126718
-40,863,0.01035318,0.00696249
-39,864,0.01218765,0.00874014
-38,865,0.01727367,0.00850162
-37,866,0.02515898,0.01144555
-36,867,0.03620473,0.01249878
-35,868,0.04574031,0.01257590
-34,869,0.04963330,0.00673247
-33,870,0.04802181,0.01192395
-32,871,0.04393484,0.01763309
-31,872,0.04084779,0.02478236
-30,873,0.03982954,0.02179340
-29,874,0.04049072,0.00538248
-28,875,0.04260311,0.01151605
-27,876,0.04679884,0.00514317
-26,877,0.05158607,0.01774695
-25,878,0.05190801,0.01841074
-24,879,0.05092996,0.00175467
-23,880,0.04779624,0.01938054
-22,881,0.04360170,0.01442948
-21,882,0.03937747,0.00685418
-20,883,0.03583579,0.00303561
