section,key,value
summary,fft_size,32768
summary,blocks,64
summary,bin_hz,30.838806152
summary,occupied_hz,316837.894409
summary,expected_2k_spacing_hz,185.828677
summary,threshold,0.0263128494
scan,spacing_bins,spacing_hz,phase,hits,carrier_slots,hit_fraction,mean_hit_power,cv,score
scan,2,61.677612,0,4110,5137,0.80007787,0.0328318934,0.46521434,0.05576943
scan,2,61.677612,1,4114,5137,0.80085653,0.0329536252,0.48990698,0.05509146
scan,3,92.516418,0,2751,3425,0.80321168,0.0329305617,0.47778334,0.07062108
scan,3,92.516418,1,2727,3424,0.79643692,0.0328923814,0.48059159,0.06924804
scan,3,92.516418,2,2746,3425,0.80175182,0.0328553519,0.47494712,0.07038957
scan,4,123.355225,0,2064,2568,0.80373832,0.0328151535,0.45805850,0.09722587
scan,4,123.355225,1,2046,2569,0.79641884,0.0331021569,0.49955838,0.09337631
scan,4,123.355225,2,2046,2569,0.79641884,0.0328487805,0.47230819,0.09460555
scan,4,123.355225,3,2068,2568,0.80529595,0.0328066736,0.47993721,0.09614313
scan,5,154.194031,0,1637,2055,0.79659367,0.0330655332,0.51147648,0.14466725
scan,5,154.194031,1,1668,2054,0.81207400,0.032588152,0.43086402,0.15723958
scan,5,154.194031,2,1656,2055,0.80583942,0.0327509292,0.44940885,0.15337691
scan,5,154.194031,3,1621,2055,0.78880779,0.0329279482,0.47710702,0.14474005
scan,5,154.194031,4,1642,2055,0.79902676,0.0331383906,0.51318338,0.14560721
scan,6,185.032837,0,1377,1713,0.80385289,0.0328140063,0.47308985,0.34338325
scan,6,185.032837,1,1373,1712,0.80198598,0.0327667603,0.49368218,0.33674529
scan,6,185.032837,2,1379,1712,0.80549065,0.0326652885,0.45511387,0.34795751
scan,6,185.032837,3,1374,1712,0.80257009,0.0330473716,0.48234425,0.34180618
scan,6,185.032837,4,1354,1712,0.79088785,0.0330197652,0.46711512,0.33518167
scan,6,185.032837,5,1367,1713,0.79801518,0.0330470837,0.49363265,0.33538138
scan,7,215.871643,0,1192,1468,0.81198910,0.0323054396,0.39586891,0.16497188
scan,7,215.871643,1,1167,1468,0.79495913,0.032650651,0.42769124,0.15573333
scan,7,215.871643,2,1195,1468,0.81403270,0.032973201,0.44934834,0.16194356
scan,7,215.871643,3,1169,1468,0.79632153,0.0334344853,0.50836165,0.15033091
scan,7,215.871643,4,1173,1467,0.79959100,0.0333649094,0.54656141,0.14761414
