i,q,symbol,bin
0.5285693,0.8488902,0,-79
0.2785986,0.9604076,0,-78
0.4266052,0.9044379,0,-77
0.5750676,-0.8181059,0,-76
0.9919571,-0.1265741,0,-75
-0.9986649,0.0516572,0,-74
0.1542738,-0.9880281,0,-73
0.7427952,0.6695187,0,-72
0.7972726,0.6036193,0,-71
-0.6294823,-0.7770148,0,-70
0.0793324,0.9968482,0,-69
-0.3292861,0.9442302,0,-68
0.8347040,-0.5506988,0,-67
0.9441352,-0.3295583,0,-66
-0.9751928,0.2213571,0,-65
-0.2884099,0.9575071,0,-64
0.9987223,0.0505366,0,-63
-0.2010823,-0.9795744,0,-62
-0.8390277,0.5440887,0,-61
0.0814816,0.9966748,0,-60
-0.6466010,0.7628284,0,-59
-0.9451081,-0.3267578,0,-58
0.5903475,0.8071492,0,-57
-0.4883063,-0.8726723,0,-56
-0.8491372,0.5281723,0,-55
-0.2660751,0.9639523,0,-54
0.3180681,0.9480679,0,-53
-0.8276464,0.5612499,0,-52
0.7667934,0.6418939,0,-51
0.0643568,-0.9979270,0,-50
-0.6106686,0.7918863,0,-49
-0.0193032,-0.9998137,0,-48
-0.1041279,-0.9945639,0,-47
-0.9368098,0.3498392,0,-46
0.8044096,-0.5940751,0,-45
-0.1446190,0.9894874,0,-44
-0.4996606,0.8662213,0,-43
0.0385134,0.9992581,0,-42
-0.9842797,0.1766168,0,-41
0.8130529,0.5821899,0,-40
0.6336643,0.7736082,0,-39
-0.1468643,0.9891566,0,-38
-0.9634062,-0.2680457,0,-37
-0.5602823,0.8283017,0,-36
0.4086390,0.9126961,0,-35
-0.6563213,-0.7544815,0,-34
-0.1548256,0.9879418,0,-33
-0.9255989,0.3785058,0,-32
-0.8983404,-0.4393001,0,-31
0.0453974,0.9989690,0,-30
-0.9980753,0.0620137,0,-29
0.8691628,0.4945260,0,-28
0.9471241,-0.3208677,0,-27
-0.7500950,0.6613302,0,-26
-0.3657452,-0.9307150,0,-25
-0.0410083,-0.9991588,0,-24
0.9789042,0.2043197,0,-23
-0.2482478,0.9686965,0,-22
0.6978868,-0.7162082,0,-21
-0.9771750,0.2124360,0,-20
0.9662687,0.2575362,0,-19
-0.8307366,0.5566656,0,-18
-0.7377323,-0.6750934,0,-17
-0.0731354,0.9973220,0,-16
0.4063597,-0.9137132,0,-15
0.7600193,0.6499006,0,-14
0.2373130,0.9714332,0,-13
0.9842094,0.1770084,0,-12
-0.9493409,0.3142479,0,-11
-0.9536840,-0.3008104,0,-10
-0.8877746,0.4602783,0,-9
-0.4905214,0.8714291,0,-8
0.8976751,0.4406579,0,-7
0.9927846,-0.1199120,0,-6
-0.1246157,-0.9922051,0,-5
0.8410181,0.5410071,0,-4
-0.7010369,0.7131250,0,-3
-0.6555913,0.7551159,0,-2
-0.2670906,-0.9636714,0,-1
-0.6698993,-0.7424519,0,1
-0.9935728,0.1131946,0,2
0.3614560,0.9323891,0,3
-0.2540048,-0.9672030,0,4
-0.9996286,-0.0272524,0,5
