i,q,symbol,bin,qpsk4_score,carrier_rms
-0.8891904,0.4623355,0,-80,0.2154891,0.0236168
-0.0480707,0.5801800,0,-78,0.1723055,0.0312782
0.4074305,-0.7696468,0,-73,0.1604269,0.0324461
0.9572856,0.7473383,0,-71,0.1619879,0.0322393
-1.2817402,-0.5264109,0,-69,0.1539303,0.0314364
0.6388857,1.7060145,0,-66,0.1709145,0.0338973
0.0345283,-0.5047280,0,-61,0.2245609,0.0323560
0.8369029,1.0446222,0,-58,0.2650572,0.0334277
-0.1928406,-0.8217883,0,-57,0.2069488,0.0340260
0.9952847,0.8837116,0,-56,0.2391335,0.0331709
0.5605704,-0.2541069,0,-55,0.1690526,0.0327313
0.0023934,-0.4323045,0,-52,0.1736426,0.0335142
-1.1421785,-0.8767624,0,-50,0.2732438,0.0346435
1.8245026,-1.6410688,0,-48,0.3119991,0.0344166
-0.2599002,0.5432588,0,-46,0.3614561,0.0354192
-0.7935328,1.1501229,0,-45,0.2473981,0.0341379
-0.6173624,0.6535900,0,-44,0.1951639,0.0316322
-0.6110057,-0.5914044,0,-43,0.1960933,0.0336191
0.3220043,0.4435298,0,-42,0.2729034,0.0325492
-0.7109712,-0.9977835,0,-41,0.1570884,0.0341926
-0.0672241,0.9341182,0,-39,0.3031736,0.0354361
-0.1000823,-0.0727496,0,-38,0.1777520,0.0347925
1.4020087,0.7227817,0,-35,0.2100918,0.0331174
-0.1434378,2.0095458,0,-33,0.1599579,0.0327931
-0.1869420,0.0858194,0,-28,0.1682396,0.0341288
0.5984834,-0.1183148,0,-23,0.2846644,0.0335739
-1.1195000,0.8419982,0,-20,0.2335826,0.0342149
-0.2849177,0.5055179,0,-19,0.2535568,0.0336195
1.0840851,1.0090103,0,-17,0.1750351,0.0323971
-0.4328255,1.6531658,0,-14,0.1649042,0.0340405
0.2631581,-0.3258368,0,-12,0.2402577,0.0358615
-0.9703049,0.9591194,0,-7,0.2490080,0.0332982
0.2734967,0.6321665,0,-6,0.1929214,0.0353557
0.1795573,-0.6012979,0,-4,0.1951398,0.0344301
-0.3039734,-0.7052280,0,-3,0.2806378,0.0321020
-0.8355566,0.0232622,0,1,0.3056763,0.0339872
0.6717952,-0.5209245,0,2,0.2739325,0.0348353
-0.2700990,-0.2176456,0,9,0.3625268,0.0326714
0.3992965,0.4061326,0,12,0.2227034,0.0335086
-0.7887758,0.3657027,0,13,0.1558162,0.0354686
-0.4514597,0.7242990,0,15,0.1722361,0.0329461
0.0648367,-1.0342460,0,16,0.1809430,0.0331809
0.7436954,-0.6466861,0,17,0.2667742,0.0328124
-0.2843573,-0.6858305,0,18,0.2579657,0.0330149
-0.9788371,0.4676417,0,19,0.2123798,0.0347419
0.4252622,-0.9705583,0,20,0.1737392,0.0341456
0.3895757,-0.9027840,0,22,0.2188993,0.0352120
0.9042978,-0.1215173,0,25,0.2379039,0.0347851
1.2151653,0.6367742,0,28,0.2795262,0.0359730
0.2465093,0.7093471,0,29,0.1560578,0.0365606
0.0559890,-0.3520581,0,30,0.1892453,0.0345993
0.6600587,-0.1110571,0,31,0.2184409,0.0339679
-0.4911225,0.9488199,0,35,0.2022124,0.0332740
0.2442182,0.3806687,0,38,0.2505754,0.0347189
0.5394266,-0.7160954,0,42,0.1539601,0.0318749
0.5953351,0.2317932,0,44,0.1543655,0.0350491
-0.5653690,0.1916249,0,46,0.1749498,0.0348995
-0.8112628,-0.0950803,0,48,0.2145339,0.0338123
-0.2875139,0.8144960,0,49,0.1743735,0.0343146
1.3670352,-1.6018043,0,53,0.2370936,0.0352551
0.6987733,-0.1750042,0,58,0.2407674,0.0330402
-0.1093868,0.2111563,0,59,0.2371482,0.0322270
-1.2143502,-0.0763771,0,60,0.1872283,0.0332415
0.9543931,-0.8579362,0,61,0.1782132,0.0337909
0.4885434,-0.9096736,0,64,0.1898980,0.0345836
0.4863665,-1.1952991,0,65,0.1915387,0.0327996
-0.4346731,-0.0327985,0,66,0.1658801,0.0342049
0.0113608,-1.1092801,0,67,0.1782270,0.0340557
-0.9258683,1.0872614,0,69,0.1634836,0.0320943
-0.8446001,0.4862524,0,70,0.3687996,0.0323224
0.2458000,-0.0032936,0,74,0.2018679,0.0322477
-1.1418946,0.1589908,0,76,0.2817078,0.0337299
-0.3173227,0.4282053,0,77,0.2340268,0.0336129
0.1514743,-0.0102158,0,79,0.1880926,0.0340320
-0.8507996,0.9458253,0,80,0.1600346,0.0323882
0.6158104,0.0842978,1,-80,0.2154891,0.0236168
0.0419655,-0.1959798,1,-78,0.1723055,0.0312782
-1.7246764,0.2652011,1,-73,0.1604269,0.0324461
-0.9193314,-1.4717700,1,-71,0.1619879,0.0322393
0.9345143,-0.7389495,1,-69,0.1539303,0.0314364
-0.0711470,1.3176129,1,-66,0.1709145,0.0338973
-0.3883666,-0.3243444,1,-61,0.2245609,0.0323560
-0.7089675,-0.7612060,1,-58,0.2650572,0.0334277
0.1139465,-0.9916594,1,-57,0.2069488,0.0340260
0.8043317,-0.3571324,1,-56,0.2391335,0.0331709
-0.4239886,-0.8199272,1,-55,0.1690526,0.0327313
-0.3016008,-0.0475356,1,-52,0.1736426,0.0335142
-0.7604117,0.5400700,1,-50,0.2732438,0.0346435
1.9967451,-1.4302042,1,-48,0.3119991,0.0344166
1.6047742,-0.5199960,1,-46,0.3614561,0.0354192
-1.1655047,-1.8366826,1,-45,0.2473981,0.0341379
-0.7542505,-0.4011829,1,-44,0.1951639,0.0316322
0.4860694,-1.0432978,1,-43,0.1960933,0.0336191
-0.7795422,0.2962329,1,-42,0.2729034,0.0325492
-0.1702644,0.9132753,1,-41,0.1570884,0.0341926
1.0126138,-0.5563244,1,-39,0.3031736,0.0354361
-0.8885307,-0.1996887,1,-38,0.1777520,0.0347925
0.9914916,-0.4455808,1,-35,0.2100918,0.0331174
1.1046431,-0.4867454,1,-33,0.1599579,0.0327931
0.6483947,-0.2753163,1,-28,0.1682396,0.0341288
-0.7159675,-1.3451632,1,-23,0.2846644,0.0335739
-0.2024328,-0.1418489,1,-20,0.2335826,0.0342149
-0.7903990,-1.4976948,1,-19,0.2535568,0.0336195
-0.8056315,-0.1160652,1,-17,0.1750351,0.0323971
0.2316712,0.2456508,1,-14,0.1649042,0.0340405
-0.3544076,1.2695282,1,-12,0.2402577,0.0358615
-0.1869468,-0.1578174,1,-7,0.2490080,0.0332982
-1.1405034,-0.6404546,1,-6,0.1929214,0.0353557
-0.9158435,0.6396342,1,-4,0.1951398,0.0344301
0.1595369,-0.4844740,1,-3,0.2806378,0.0321020
0.3094638,1.2762138,1,1,0.3056763,0.0339872
0.1204854,-0.0932954,1,2,0.2739325,0.0348353
-0.3468302,0.2635816,1,9,0.3625268,0.0326714
-0.7971606,0.5627127,1,12,0.2227034,0.0335086
0.7608306,1.2496268,1,13,0.1558162,0.0354686
-1.2690423,-1.5731152,1,15,0.1722361,0.0329461
0.2201469,0.2690400,1,16,0.1809430,0.0331809
1.1081161,0.9524324,1,17,0.2667742,0.0328124
1.0199676,0.1431001,1,18,0.2579657,0.0330149
0.5814697,0.3531861,1,19,0.2123798,0.0347419
-0.7368875,-0.5111745,1,20,0.1737392,0.0341456
-0.3035226,-0.0091147,1,22,0.2188993,0.0352120
1.3229390,1.3736982,1,25,0.2379039,0.0347851
-1.2533834,0.7498024,1,28,0.2795262,0.0359730
0.7909060,-0.1654244,1,29,0.1560578,0.0365606
0.4561234,-1.0450422,1,30,0.1892453,0.0345993
-1.8318293,-0.9519852,1,31,0.2184409,0.0339679
-0.7915607,1.8469439,1,35,0.2022124,0.0332740
-0.1900787,-0.4659802,1,38,0.2505754,0.0347189
-0.6138771,0.7065346,1,42,0.1539601,0.0318749
0.6450186,-0.3236695,1,44,0.1543655,0.0350491
-0.1282835,-0.2973689,1,46,0.1749498,0.0348995
-0.8836175,-0.7476104,1,48,0.2145339,0.0338123
0.3156430,0.6423233,1,49,0.1743735,0.0343146
1.2652416,0.9442608,1,53,0.2370936,0.0352551
-0.0841900,-0.0876005,1,58,0.2407674,0.0330402
0.9610999,-0.5456038,1,59,0.2371482,0.0322270
0.6046042,-0.7366781,1,60,0.1872283,0.0332415
-0.7283295,1.3579381,1,61,0.1782132,0.0337909
-1.0466297,0.2709671,1,64,0.1898980,0.0345836
0.0029416,0.6487430,1,65,0.1915387,0.0327996
0.5066751,0.7012188,1,66,0.1658801,0.0342049
-0.3460351,-0.0830988,1,67,0.1782270,0.0340557
0.2049786,-0.6294318,1,69,0.1634836,0.0320943
0.3816776,-1.0964975,1,70,0.3687996,0.0323224
0.2842208,1.0627017,1,74,0.2018679,0.0322477
-0.5594252,0.5915862,1,76,0.2817078,0.0337299
-0.3927152,-0.3990864,1,77,0.2340268,0.0336129
0.3897336,1.1647849,1,79,0.1880926,0.0340320
0.2174813,0.0434186,1,80,0.1600346,0.0323882
-0.2302574,0.6751662,2,-80,0.2154891,0.0236168
-1.0624669,0.1964149,2,-78,0.1723055,0.0312782
-0.1652049,1.6312803,2,-73,0.1604269,0.0324461
-0.6406537,0.5874127,2,-71,0.1619879,0.0322393
0.2445327,1.4410880,2,-69,0.1539303,0.0314364
0.5012961,0.0001759,2,-66,0.1709145,0.0338973
0.2567407,-0.7277299,2,-61,0.2245609,0.0323560
0.2626887,0.1356426,2,-58,0.2650572,0.0334277
0.5837309,-0.8673760,2,-57,0.2069488,0.0340260
0.0622477,0.3233272,2,-56,0.2391335,0.0331709
-0.0744464,-0.4686852,2,-55,0.1690526,0.0327313
0.3932896,0.7605841,2,-52,0.1736426,0.0335142
0.4871271,-0.2854717,2,-50,0.2732438,0.0346435
0.1726771,0.4809956,2,-48,0.3119991,0.0344166
-1.0203719,-1.2536256,2,-46,0.3614561,0.0354192
0.1215566,0.4973582,2,-45,0.2473981,0.0341379
-0.2517666,0.1635421,2,-44,0.1951639,0.0316322
-0.2054983,-0.0862397,2,-43,0.1960933,0.0336191
0.3114761,-0.3987746,2,-42,0.2729034,0.0325492
-0.2622770,0.3096463,2,-41,0.1570884,0.0341926
-0.3188212,0.7554403,2,-39,0.3031736,0.0354361
-1.2042696,-0.7132115,2,-38,0.1777520,0.0347925
-0.7133383,1.3564417,2,-35,0.2100918,0.0331174
0.9578936,-0.1895361,2,-33,0.1599579,0.0327931
-0.2348802,-0.7346001,2,-28,0.1682396,0.0341288
1.0788414,0.5529552,2,-23,0.2846644,0.0335739
0.8762782,-1.4341713,2,-20,0.2335826,0.0342149
-0.2234980,0.9362815,2,-19,0.2535568,0.0336195
-0.8605701,-0.7684621,2,-17,0.1750351,0.0323971
-0.5288768,0.0897992,2,-14,0.1649042,0.0340405
-0.3367694,0.3073553,2,-12,0.2402577,0.0358615
-0.9860620,-1.2859217,2,-7,0.2490080,0.0332982
1.2008995,0.7738998,2,-6,0.1929214,0.0353557
-0.2336456,1.5453933,2,-4,0.1951398,0.0344301
0.5577089,0.8700188,2,-3,0.2806378,0.0321020
-0.0723999,-0.3028529,2,1,0.3056763,0.0339872
-1.1467708,0.4936404,2,2,0.2739325,0.0348353
0.3121159,-1.8864480,2,9,0.3625268,0.0326714
0.6197634,0.4849304,2,12,0.2227034,0.0335086
0.9596195,-0.1845328,2,13,0.1558162,0.0354686
-0.2430207,1.6137240,2,15,0.1722361,0.0329461
-0.3552865,-0.0572972,2,16,0.1809430,0.0331809
-0.3805457,0.2923195,2,17,0.2667742,0.0328124
0.1394933,0.0000897,2,18,0.2579657,0.0330149
2.0451689,1.0188912,2,19,0.2123798,0.0347419
0.1053888,-0.6228344,2,20,0.1737392,0.0341456
-0.3195073,-1.0556995,2,22,0.2188993,0.0352120
1.5212196,1.3393495,2,25,0.2379039,0.0347851
-0.0752771,0.9267947,2,28,0.2795262,0.0359730
-0.3703921,0.4635565,2,29,0.1560578,0.0365606
1.3444443,-0.5537183,2,30,0.1892453,0.0345993
0.6437705,0.1581026,2,31,0.2184409,0.0339679
-0.0598999,0.1091480,2,35,0.2022124,0.0332740
0.5062835,0.2253319,2,38,0.2505754,0.0347189
-0.8915727,-0.3174025,2,42,0.1539601,0.0318749
0.1794973,-0.5888882,2,44,0.1543655,0.0350491
-0.7182221,0.8372666,2,46,0.1749498,0.0348995
0.3489686,0.3172752,2,48,0.2145339,0.0338123
-1.0475453,0.7733209,2,49,0.1743735,0.0343146
-1.2781229,-0.3868352,2,53,0.2370936,0.0352551
0.4138063,0.9031691,2,58,0.2407674,0.0330402
-0.3340485,-0.1263710,2,59,0.2371482,0.0322270
0.4653652,-0.8879064,2,60,0.1872283,0.0332415
-0.1250345,-1.4359226,2,61,0.1782132,0.0337909
-0.3195109,-0.2292283,2,64,0.1898980,0.0345836
-0.7098944,-0.1063492,2,65,0.1915387,0.0327996
-0.8443428,0.7610832,2,66,0.1658801,0.0342049
0.9730803,0.8387311,2,67,0.1782270,0.0340557
0.2555263,-1.0457691,2,69,0.1634836,0.0320943
1.3399304,-0.4514459,2,70,0.3687996,0.0323224
-0.3218911,0.0664892,2,74,0.2018679,0.0322477
-0.7299059,-0.3952462,2,76,0.2817078,0.0337299
-0.6103049,-0.9292283,2,77,0.2340268,0.0336129
0.2325858,-0.6542111,2,79,0.1880926,0.0340320
-0.4326704,-0.9402025,2,80,0.1600346,0.0323882
0.7138175,-0.5980690,3,-80,0.2154891,0.0236168
-0.4623041,-0.2710174,3,-78,0.1723055,0.0312782
-0.6373956,-0.1358044,3,-73,0.1604269,0.0324461
0.5879262,-0.2609173,3,-71,0.1619879,0.0322393
0.9162126,-0.0193164,3,-69,0.1539303,0.0314364
0.0294379,0.0564038,3,-66,0.1709145,0.0338973
-1.0189552,1.1241553,3,-61,0.2245609,0.0323560
0.5363983,-0.5511748,3,-58,0.2650572,0.0334277
-0.6544550,0.0721629,3,-57,0.2069488,0.0340260
-0.1850000,0.0690375,3,-56,0.2391335,0.0331709
1.2355967,1.9868914,3,-55,0.1690526,0.0327313
0.6042058,0.8159657,3,-52,0.1736426,0.0335142
0.6354719,0.7101339,3,-50,0.2732438,0.0346435
-0.1138456,0.1877478,3,-48,0.3119991,0.0344166
0.1704526,-1.1070726,3,-46,0.3614561,0.0354192
-0.3108762,0.4277005,3,-45,0.2473981,0.0341379
-1.0993394,-1.4749674,3,-44,0.1951639,0.0316322
0.0760633,-0.5852194,3,-43,0.1960933,0.0336191
-0.4305294,-0.6612599,3,-42,0.2729034,0.0325492
0.6036139,-0.5682254,3,-41,0.1570884,0.0341926
0.5759993,-0.0382425,3,-39,0.3031736,0.0354361
0.1850141,0.1687071,3,-38,0.1777520,0.0347925
0.2190346,-0.6703691,3,-35,0.2100918,0.0331174
-0.1436306,0.9336669,3,-33,0.1599579,0.0327931
-0.4143129,0.0077602,3,-28,0.1682396,0.0341288
0.2160928,-0.2699805,3,-23,0.2846644,0.0335739
-0.2459324,0.7528774,3,-20,0.2335826,0.0342149
-0.3295228,-0.3312203,3,-19,0.2535568,0.0336195
0.1398716,0.7385430,3,-17,0.1750351,0.0323971
1.4454610,0.8260162,3,-14,0.1649042,0.0340405
1.2187215,1.2593015,3,-12,0.2402577,0.0358615
-0.7807596,0.6751419,3,-7,0.2490080,0.0332982
-0.4136561,-0.1172631,3,-6,0.1929214,0.0353557
0.5166735,-1.0534476,3,-4,0.1951398,0.0344301
-1.6975852,1.2663445,3,-3,0.2806378,0.0321020
0.2535633,-0.1823077,3,1,0.3056763,0.0339872
0.6410726,0.3495601,3,2,0.2739325,0.0348353
-0.8284678,0.0107545,3,9,0.3625268,0.0326714
0.0899684,0.7333472,3,12,0.2227034,0.0335086
1.0305257,-0.1022248,3,13,0.1558162,0.0354686
0.7924788,-0.0699482,3,15,0.1722361,0.0329461
0.1259223,-0.6578532,3,16,0.1809430,0.0331809
-0.4642594,0.1178998,3,17,0.2667742,0.0328124
-0.0695367,-0.5257104,3,18,0.2579657,0.0330149
-0.4802215,-0.2441617,3,19,0.2123798,0.0347419
-0.3501509,0.9060680,3,20,0.1737392,0.0341456
-0.5167420,-0.5138762,3,22,0.2188993,0.0352120
0.7571831,-0.9765452,3,25,0.2379039,0.0347851
1.2333587,0.3600930,3,28,0.2795262,0.0359730
-0.2469076,0.3979552,3,29,0.1560578,0.0365606
-0.3724798,-0.2882499,3,30,0.1892453,0.0345993
0.5107982,-0.8622664,3,31,0.2184409,0.0339679
0.0339957,-0.4021464,3,35,0.2022124,0.0332740
-1.2737032,-0.3904879,3,38,0.2505754,0.0347189
0.4593326,0.2948533,3,42,0.1539601,0.0318749
-0.8718620,-0.1272335,3,44,0.1543655,0.0350491
0.9287817,0.3611017,3,46,0.1749498,0.0348995
-0.1102884,-0.7645145,3,48,0.2145339,0.0338123
-0.5100303,0.6169956,3,49,0.1743735,0.0343146
-0.5306969,0.6511992,3,53,0.2370936,0.0352551
0.2100515,-0.8526909,3,58,0.2407674,0.0330402
1.3487523,1.5976781,3,59,0.2371482,0.0322270
0.1467331,0.6320015,3,60,0.1872283,0.0332415
-0.0065974,0.2151644,3,61,0.1782132,0.0337909
0.1833834,0.1764268,3,64,0.1898980,0.0345836
-1.0161502,0.3899723,3,65,0.1915387,0.0327996
-0.3256279,-0.9689656,3,66,0.1658801,0.0342049
0.6947832,-0.5699370,3,67,0.1782270,0.0340557
0.4285685,-1.2619587,3,69,0.1634836,0.0320943
-1.1672806,-1.2212931,3,70,0.3687996,0.0323224
0.7942117,-0.1407737,3,74,0.2018679,0.0322477
-0.8194759,-0.2904222,3,76,0.2817078,0.0337299
-0.4089612,0.5138972,3,77,0.2340268,0.0336129
0.1265732,-1.1811435,3,79,0.1880926,0.0340320
-0.8210192,0.6309084,3,80,0.1600346,0.0323882
-0.3272067,0.0451962,4,-80,0.2154891,0.0236168
0.5939238,0.2468005,4,-78,0.1723055,0.0312782
-0.5671399,-0.2361074,4,-73,0.1604269,0.0324461
0.6260501,0.9223950,4,-71,0.1619879,0.0322393
-1.6514386,-0.4219431,4,-69,0.1539303,0.0314364
1.1002156,-0.9394720,4,-66,0.1709145,0.0338973
0.0095851,-0.5283808,4,-61,0.2245609,0.0323560
0.6937528,-1.3148537,4,-58,0.2650572,0.0334277
-0.5395411,-0.0914939,4,-57,0.2069488,0.0340260
0.5492373,0.2167525,4,-56,0.2391335,0.0331709
0.2968224,1.0506506,4,-55,0.1690526,0.0327313
0.7233950,0.3558891,4,-52,0.1736426,0.0335142
0.0789678,0.4555830,4,-50,0.2732438,0.0346435
-0.0637620,1.6371331,4,-48,0.3119991,0.0344166
-0.8728973,-0.0380914,4,-46,0.3614561,0.0354192
-0.6607996,0.3031158,4,-45,0.2473981,0.0341379
0.0345048,0.9402648,4,-44,0.1951639,0.0316322
-0.0790392,-0.0554536,4,-43,0.1960933,0.0336191
0.5064983,-0.3260858,4,-42,0.2729034,0.0325492
0.1491358,0.3371046,4,-41,0.1570884,0.0341926
-0.5186050,-0.2202643,4,-39,0.3031736,0.0354361
-0.0431169,1.0284501,4,-38,0.1777520,0.0347925
-0.1792537,0.4828380,4,-35,0.2100918,0.0331174
1.0549563,-0.2069890,4,-33,0.1599579,0.0327931
-0.5411798,0.7540521,4,-28,0.1682396,0.0341288
-0.7563733,0.6698045,4,-23,0.2846644,0.0335739
-1.1306447,-0.3514335,4,-20,0.2335826,0.0342149
-0.3985632,0.5816209,4,-19,0.2535568,0.0336195
-1.0976272,-0.5822949,4,-17,0.1750351,0.0323971
0.2018511,0.2966159,4,-14,0.1649042,0.0340405
-0.0978634,0.1807242,4,-12,0.2402577,0.0358615
0.5960324,0.2791457,4,-7,0.2490080,0.0332982
-0.3512282,0.1978549,4,-6,0.1929214,0.0353557
0.8830909,-1.1274167,4,-4,0.1951398,0.0344301
-1.1859862,0.3344916,4,-3,0.2806378,0.0321020
-0.2140966,0.6215417,4,1,0.3056763,0.0339872
-0.1124417,-0.6926451,4,2,0.2739325,0.0348353
1.1390324,-1.1323248,4,9,0.3625268,0.0326714
-1.8032855,0.5747855,4,12,0.2227034,0.0335086
0.4644041,-0.4842637,4,13,0.1558162,0.0354686
0.8771881,-0.4558029,4,15,0.1722361,0.0329461
-0.0164684,0.3910765,4,16,0.1809430,0.0331809
-0.7655663,-0.7626250,4,17,0.2667742,0.0328124
-0.9216262,0.1041390,4,18,0.2579657,0.0330149
0.4331821,0.3262655,4,19,0.2123798,0.0347419
-0.5956985,0.1879419,4,20,0.1737392,0.0341456
0.9807177,0.7677280,4,22,0.2188993,0.0352120
0.0426258,1.1019964,4,25,0.2379039,0.0347851
-0.4384170,0.1683932,4,28,0.2795262,0.0359730
0.2593565,0.2637119,4,29,0.1560578,0.0365606
-0.7565587,0.8383429,4,30,0.1892453,0.0345993
0.1564891,-0.2449019,4,31,0.2184409,0.0339679
-0.3034918,0.2239670,4,35,0.2022124,0.0332740
-0.1833479,-0.0560700,4,38,0.2505754,0.0347189
-1.3671414,0.8772907,4,42,0.1539601,0.0318749
1.2660942,0.7374651,4,44,0.1543655,0.0350491
0.2140563,1.4275260,4,46,0.1749498,0.0348995
-1.6492752,0.9309514,4,48,0.2145339,0.0338123
0.9883843,-1.5342715,4,49,0.1743735,0.0343146
0.8838037,-0.0765184,4,53,0.2370936,0.0352551
0.6621742,-0.1235906,4,58,0.2407674,0.0330402
0.7301420,1.8696024,4,59,0.2371482,0.0322270
0.7917769,-0.4539095,4,60,0.1872283,0.0332415
-0.6016930,-0.7466267,4,61,0.1782132,0.0337909
0.1282115,-1.1214871,4,64,0.1898980,0.0345836
-0.4558170,-0.0828522,4,65,0.1915387,0.0327996
0.5655234,-0.0280489,4,66,0.1658801,0.0342049
0.2473986,0.1317656,4,67,0.1782270,0.0340557
-0.1169658,-0.0853832,4,69,0.1634836,0.0320943
-0.3431810,-0.5049251,4,70,0.3687996,0.0323224
-1.2527496,1.0224469,4,74,0.2018679,0.0322477
0.7138473,0.8606933,4,76,0.2817078,0.0337299
0.0170102,0.8876631,4,77,0.2340268,0.0336129
1.0555406,1.5157961,4,79,0.1880926,0.0340320
-0.3793070,-0.8365207,4,80,0.1600346,0.0323882
0.1974934,1.3463674,5,-80,0.2154891,0.0236168
-0.3160321,0.4532756,5,-78,0.1723055,0.0312782
0.3178161,0.5560223,5,-73,0.1604269,0.0324461
-0.5528916,0.5291218,5,-71,0.1619879,0.0322393
-0.5701346,-0.5042023,5,-69,0.1539303,0.0314364
-1.2785945,0.5889134,5,-66,0.1709145,0.0338973
-1.0850974,0.8316702,5,-61,0.2245609,0.0323560
0.6374673,0.9793237,5,-58,0.2650572,0.0334277
-0.1805317,1.2886889,5,-57,0.2069488,0.0340260
-0.2073634,1.1203600,5,-56,0.2391335,0.0331709
0.7865840,0.2749633,5,-55,0.1690526,0.0327313
0.6108658,0.0387897,5,-52,0.1736426,0.0335142
-1.3415240,1.0879587,5,-50,0.2732438,0.0346435
-0.4463202,0.0875749,5,-48,0.3119991,0.0344166
1.1224792,-0.7429430,5,-46,0.3614561,0.0354192
0.2902768,0.4446499,5,-45,0.2473981,0.0341379
0.0392609,0.6424571,5,-44,0.1951639,0.0316322
-0.6501737,-1.0332799,5,-43,0.1960933,0.0336191
-1.0865922,0.9483491,5,-42,0.2729034,0.0325492
0.0163841,0.1452274,5,-41,0.1570884,0.0341926
0.0049817,-0.8346599,5,-39,0.3031736,0.0354361
-0.0493828,0.2448317,5,-38,0.1777520,0.0347925
-0.0296617,-0.4096138,5,-35,0.2100918,0.0331174
0.6438800,-0.3580894,5,-33,0.1599579,0.0327931
1.3534724,0.4330004,5,-28,0.1682396,0.0341288
-0.7379566,1.3973314,5,-23,0.2846644,0.0335739
0.4276457,-0.1662655,5,-20,0.2335826,0.0342149
0.0922665,0.0475216,5,-19,0.2535568,0.0336195
-0.4959039,-0.5918661,5,-17,0.1750351,0.0323971
-0.9033630,0.8376520,5,-14,0.1649042,0.0340405
0.7220904,-0.4630099,5,-12,0.2402577,0.0358615
0.5316153,0.5909591,5,-7,0.2490080,0.0332982
0.3099199,-0.0918029,5,-6,0.1929214,0.0353557
0.0443187,-0.1840408,5,-4,0.1951398,0.0344301
0.1944087,1.0344564,5,-3,0.2806378,0.0321020
-0.7922537,-0.4485213,5,1,0.3056763,0.0339872
-0.6120375,0.4902157,5,2,0.2739325,0.0348353
1.1200002,0.5221341,5,9,0.3625268,0.0326714
-0.4242848,1.4169788,5,12,0.2227034,0.0335086
0.1818291,0.0434145,5,13,0.1558162,0.0354686
-0.3425262,0.3257275,5,15,0.1722361,0.0329461
-0.8748969,0.0895261,5,16,0.1809430,0.0331809
-0.5845346,0.2237668,5,17,0.2667742,0.0328124
-0.9051914,0.6970981,5,18,0.2579657,0.0330149
0.5824628,0.0870375,5,19,0.2123798,0.0347419
-0.7944206,-1.3278359,5,20,0.1737392,0.0341456
-0.7217268,-1.0004357,5,22,0.2188993,0.0352120
0.1660135,-0.0603011,5,25,0.2379039,0.0347851
0.2956376,-0.5024986,5,28,0.2795262,0.0359730
0.4090662,0.5770419,5,29,0.1560578,0.0365606
0.3724419,-0.4786928,5,30,0.1892453,0.0345993
0.6821029,-0.6544968,5,31,0.2184409,0.0339679
-1.1559838,0.6175729,5,35,0.2022124,0.0332740
0.2042810,0.0232268,5,38,0.2505754,0.0347189
0.4034820,1.0082191,5,42,0.1539601,0.0318749
-0.2545634,0.1522387,5,44,0.1543655,0.0350491
0.5196063,-0.6220235,5,46,0.1749498,0.0348995
-1.3888013,-1.1641560,5,48,0.2145339,0.0338123
-0.3504756,-0.9342943,5,49,0.1743735,0.0343146
0.3120348,-0.0110054,5,53,0.2370936,0.0352551
0.6660935,-0.5119482,5,58,0.2407674,0.0330402
0.4418858,-0.3890707,5,59,0.2371482,0.0322270
-0.8174303,0.0554431,5,60,0.1872283,0.0332415
0.3545884,-1.1274705,5,61,0.1782132,0.0337909
-1.0361823,1.0668854,5,64,0.1898980,0.0345836
0.1616841,-0.0543942,5,65,0.1915387,0.0327996
1.4023781,-0.8845405,5,66,0.1658801,0.0342049
1.1322386,1.4441695,5,67,0.1782270,0.0340557
1.0812539,0.5094904,5,69,0.1634836,0.0320943
-0.7299748,0.2871575,5,70,0.3687996,0.0323224
0.1617173,0.1302930,5,74,0.2018679,0.0322477
-0.3244284,0.3830236,5,76,0.2817078,0.0337299
-0.3890340,-0.1578715,5,77,0.2340268,0.0336129
-0.1555661,-0.1320382,5,79,0.1880926,0.0340320
-0.7556939,1.3541057,5,80,0.1600346,0.0323882
0.5052838,0.3337298,6,-80,0.2154891,0.0236168
1.3138591,0.5981550,6,-78,0.1723055,0.0312782
0.0504982,-0.2078917,6,-73,0.1604269,0.0324461
-0.5011450,0.1133002,6,-71,0.1619879,0.0322393
-0.4361461,-0.7133276,6,-69,0.1539303,0.0314364
-1.0474961,0.1663923,6,-66,0.1709145,0.0338973
