delta,offset,cp_score,qpsk4_score
-96,39,0.06654337,0.03460161
-95,40,0.05378591,0.02265770
-94,41,0.05250933,0.02441368
-93,42,0.05485992,0.02795924
-92,43,0.05185076,0.01557480
-91,44,0.03961920,0.02819245
-90,45,0.02964456,0.03230971
-89,46,0.02821460,0.02647805
-88,47,0.02856074,0.00974549
-87,48,0.03553189,0.00835210
-86,49,0.05288815,0.01970954
-85,50,0.06768042,0.02380299
-84,51,0.07222773,0.02567032
-83,52,0.07322848,0.00390841
-82,53,0.07720305,0.01571733
-81,54,0.07621887,0.01720689
-80,55,0.06723947,0.02821815
-79,56,0.05916115,0.00894864
-78,57,0.05639622,0.01466460
-77,58,0.05848488,0.03549095
-76,59,0.06661683,0.01723839
-75,60,0.08104838,0.01831819
-74,61,0.08493296,0.03095220
-73,62,0.07463414,0.00743710
-72,63,0.06116879,0.00747783
-71,64,0.05396456,0.01616063
-70,65,0.04523171,0.01131154
-69,66,0.04009202,0.01702515
-68,67,0.04273582,0.02387482
-67,68,0.04786487,0.01475170
-66,69,0.05616312,0.01273237
-65,70,0.05722348,0.01968898
-64,71,0.05112735,0.01689995
-63,72,0.04849403,0.01991419
-62,73,0.05121377,0.01603672
-61,74,0.05636698,0.02444055
-60,75,0.06330431,0.01414945
-59,76,0.07084629,0.02087162
-58,77,0.08203615,0.02124944
-57,78,0.07905939,0.03881648
-56,79,0.07282453,0.01891922
-55,80,0.06527277,0.03174371
-54,81,0.05886302,0.01722897
-53,82,0.04993312,0.01187763
-52,83,0.05321915,0.01960275
-51,84,0.05379524,0.00020316
-50,85,0.04861427,0.01487168
-49,86,0.04928435,0.01396128
-48,87,0.05387420,0.01432884
-47,88,0.05683871,0.01251394
-46,89,0.05526821,0.03295325
-45,90,0.05171648,0.01141988
-44,91,0.05119718,0.00956605
-43,92,0.05953509,0.02936391
-42,93,0.06483590,0.02197991
-41,94,0.07280861,0.01526231
-40,95,0.07655290,0.00996732
-39,96,0.07055094,0.00937175
-38,97,0.06263411,0.01062986
-37,98,0.05705817,0.02385739
-36,99,0.05152619,0.02124291
-35,100,0.04190933,0.01787184
-34,101,0.02962972,0.01355112
-33,102,0.02434706,0.03206474
-32,103,0.01907320,0.03405524
-31,104,0.01175915,0.03354480
-30,105,0.00831802,0.02131453
-29,106,0.01935645,0.01642796
-28,107,0.02920392,0.04411636
-27,108,0.04208034,0.03031132
-26,109,0.05297412,0.02004413
-25,110,0.06238675,0.00814363
-24,111,0.06484825,0.01310997
-23,112,0.05657786,0.02238958
-22,113,0.04609788,0.01720049
-21,114,0.03926678,0.02892329
-20,115,0.04290399,0.00500742
-19,116,0.04422395,0.01604812
-18,117,0.03506443,0.02562715
-17,118,0.03362955,0.03307762
-16,119,0.03659659,0.02010185
-15,120,0.03549828,0.02155374
-14,121,0.02615891,0.02104250
-13,122,0.02263816,0.03326011
-12,123,0.02318321,0.03268818
-11,124,0.02678000,0.01687775
-10,125,0.03564154,0.00772283
-9,126,0.04762492,0.02766470
-8,127,0.06225584,0.00980531
-7,128,0.07020907,0.01811986
-6,129,0.06818407,0.03382445
-5,130,0.06749030,0.01277688
-4,131,0.06908191,0.02492416
-3,132,0.06680734,0.02384777
-2,133,0.05984976,0.02550501
-1,134,0.05241198,0.03272597
0,135,0.05131787,0.02860151
1,136,0.05056156,0.01571970
2,137,0.05700174,0.01778851
3,138,0.06363194,0.01165309
4,139,0.06843467,0.02831860
5,140,0.06514676,0.01431414
6,141,0.05699114,0.03587617
7,142,0.04535891,0.00731636
8,143,0.02737881,0.02156652
9,144,0.02360603,0.02400449
10,145,0.03387401,0.02312976
11,146,0.04795042,0.01847817
12,147,0.05552740,0.00516605
13,148,0.05697425,0.01823210
14,149,0.05610406,0.01437879
15,150,0.05239158,0.02600097
16,151,0.04972152,0.02602849
17,152,0.04178834,0.02134447
18,153,0.03929898,0.02652782
19,154,0.04281885,0.00391939
20,155,0.04920140,0.01478870
21,156,0.05249021,0.02363182
22,157,0.05455900,0.01621456
23,158,0.05522099,0.02385735
24,159,0.04959946,0.00841647
25,160,0.03600474,0.01215622
26,161,0.02028273,0.02254703
27,162,0.01210121,0.00740616
28,163,0.01909651,0.01156771
29,164,0.02457460,0.00996415
30,165,0.02478251,0.02367179
31,166,0.02174662,0.01871442
32,167,0.02336804,0.03103535
33,168,0.02208489,0.01087531
34,169,0.02277311,0.01873221
35,170,0.02017318,0.01555010
36,171,0.02420653,0.00821147
37,172,0.03126982,0.01382764
38,173,0.02608185,0.02911615
39,174,0.01418738,0.02273281
40,175,0.00472103,0.03018202
