freq_hz,power,power_db,active
-505263.000000,1.99647482e-06,-51.752663,0
-505232.161194,1.96955631e-06,-51.811618,0
-505201.322388,2.30488799e-06,-51.128803,0
-505170.483582,2.03305104e-06,-51.673819,0
-505139.644775,2.33760642e-06,-51.067588,0
-505108.805969,2.43608998e-06,-50.888368,0
-505077.967163,2.41978651e-06,-50.917531,0
-505047.128357,1.86874248e-06,-52.039807,0
-505016.289551,1.79962461e-06,-52.203482,0
-504985.450745,1.98872773e-06,-51.769548,0
-504954.611938,2.03594654e-06,-51.667638,0
-504923.773132,2.0187619e-06,-51.704451,0
-504892.934326,2.15728888e-06,-51.416219,0
-504862.095520,1.98398506e-06,-51.779918,0
-504831.256714,1.84909903e-06,-52.085700,0
-504800.417908,1.63591299e-06,-52.617700,0
-504769.579102,2.09925189e-06,-51.534656,0
-504738.740295,2.38990096e-06,-50.971503,0
-504707.901489,1.90978707e-06,-51.945452,0
-504677.062683,1.90975895e-06,-51.945516,0
-504646.223877,1.97646459e-06,-51.796411,0
-504615.385071,2.18836977e-06,-51.354095,0
-504584.546265,2.15076321e-06,-51.429376,0
-504553.707458,2.06284297e-06,-51.610640,0
-504522.868652,1.67327194e-06,-52.519636,0
-504492.029846,1.85143973e-06,-52.080206,0
-504461.191040,2.07636227e-06,-51.582270,0
-504430.352234,2.60969746e-06,-50.589400,0
-504399.513428,1.96291663e-06,-51.826283,0
-504368.674622,1.84680713e-06,-52.091086,0
-504337.835815,2.25008914e-06,-51.233304,0
-504306.997009,1.98249161e-06,-51.783188,0
-504276.158203,1.92708008e-06,-51.906304,0
-504245.319397,2.24683976e-06,-51.239581,0
-504214.480591,2.5715521e-06,-50.653348,0
-504183.641785,2.40773144e-06,-50.939221,0
-504152.802979,2.42704836e-06,-50.904517,0
-504121.964172,1.90519306e-06,-51.955912,0
-504091.125366,1.85590728e-06,-52.069739,0
-504060.286560,2.23957123e-06,-51.253653,0
-504029.447754,2.32404295e-06,-51.092860,0
-503998.608948,2.12498727e-06,-51.481738,0
-503967.770142,1.96365666e-06,-51.824646,0
-503936.931335,2.27740752e-06,-51.180894,0
-503906.092529,2.46212275e-06,-50.842205,0
-503875.253723,2.05101015e-06,-51.635624,0
-503844.414917,1.66827961e-06,-52.532613,0
-503813.576111,2.21930525e-06,-51.293131,0
-503782.737305,2.64436537e-06,-50.532087,0
-503751.898499,2.58046895e-06,-50.638315,0
-503721.059692,2.33396509e-06,-51.074358,0
-503690.220886,2.51003305e-06,-50.758507,0
-503659.382080,2.13379165e-06,-51.463782,0
-503628.543274,2.46978799e-06,-50.828705,0
-503597.704468,2.09125746e-06,-51.551227,0
-503566.865662,1.94232846e-06,-51.872075,0
-503536.026855,2.37938584e-06,-50.990653,0
-503505.188049,2.77610454e-06,-50.320944,0
-503474.349243,2.7031728e-06,-50.436564,0
-503443.510437,2.31127357e-06,-51.116788,0
-503412.671631,2.32711428e-06,-51.087125,0
-503381.832825,2.33032753e-06,-51.081132,0
-503350.994019,2.87485998e-06,-50.169135,0
-503320.155212,2.14049395e-06,-51.450162,0
-503289.316406,1.97225843e-06,-51.805663,0
-503258.477600,2.13904734e-06,-51.453098,0
-503227.638794,2.32654644e-06,-51.088184,0
-503196.799988,2.70215611e-06,-50.438197,0
-503165.961182,2.19192811e-06,-51.347039,0
-503135.122375,1.35932226e-06,-53.422077,0
-503104.283569,1.49185712e-06,-53.018029,0
-503073.444763,1.95271281e-06,-51.848918,0
-503042.605957,2.33300278e-06,-51.076149,0
-503011.767151,2.69042928e-06,-50.457086,0
-502980.928345,2.40631426e-06,-50.941778,0
-502950.089539,2.00977387e-06,-51.723830,0
-502919.250732,2.03393363e-06,-51.671934,0
-502888.411926,1.91166892e-06,-51.941175,0
-502857.573120,2.60903344e-06,-50.590505,0
-502826.734314,2.31150412e-06,-51.116355,0
-502795.895508,2.15077374e-06,-51.429354,0
-502765.056702,2.62699145e-06,-50.560715,0
-502734.217896,2.71625053e-06,-50.415603,0
-502703.379089,2.69062512e-06,-50.456770,0
-502672.540283,2.45340157e-06,-50.857615,0
-502641.701477,2.21524186e-06,-51.301090,0
-502610.862671,2.03255043e-06,-51.674888,0
